variable,correlation,abs_correlation,pvalue,source,camels,description
CT1CFHGL,0.0,0.0,0.986585,FTS,L,RC-R ACCUM G/L CASH FLOW HEDGE
CCED1L,,,,FTS,C,CTRL CLR EQUITY DER -1 YR OR LS
CCED1T5,,,,FTS,C,CTRL CLR EQUITY DER -1 TO 5 YR
CCEDOV5,,,,FTS,C,CTRL CLR EQUITY DER -OVER 5 YR
DEP,,,,FTS,L,TOTAL DEPOSITS
NTRTIME,,,,FTS,L,TIME DEPOSITS-TOTAL
NTRTMLG,,,,FTS,L,TIME DEPOSITS OVER $100M
NTRTMMED,,,,FTS,L,TIME DEPOSITS - $100 TO $250M
TS,,,,FTS,L,TIME & SAVINGS DEPOSITS-TOTAL
LNCONCEN,,,,CDI,S,CREDIT RISK CONCENTRATED - LOANS
