variable,source,description,camels,nan_rate
ASSETDY1,RAT,TOTAL ASSETS-DOM-Y1,UNASSIGNED,0.0017
ASSETY1,RAT,TOTAL ASSETS-Y1,UNASSIGNED,0.0017
ASSETY1S,RAT,TOTAL ASSETS-S-Y1,UNASSIGNED,0.0017
ASSTLTY1,RAT,LONG-TERM ASSETS (5+ YEARS)-Y1,UNASSIGNED,0.0181
ASTEMP,RAT,ASSETS PER EMPLOYEE,M,0.0065
ASTEMPM,RAT,ASSETS PER EMPLOYEE IN MILLION,M,0.0065
CB,RAT,,UNASSIGNED,0.0132
CHFLQY1,RAT,NET OPERATING CASH FLOW-QY1,L,0.0056
CHFLY1,RAT,NET OPERATING CASH FLOW-Y1,L,0.0052
DEPDASTR,RAT,TOT DOMESTIC DEPOSIT / ASSET,L,0.0
DEPDOMY1,RAT,TOTAL DEPOSITS-DOM-Y1,L,0.0116
DEPINSY1,RAT,ESTIMATED INSURED DESPOITS-Y1,UNASSIGNED,0.013
DEPIY1,RAT,INTEREST-BEARING-DEP-Y1,UNASSIGNED,0.0166
DEPNIY1,RAT,NONINTEREST-BEARING-DEP-Y1,UNASSIGNED,0.0257
DEPY1,RAT,TOTAL DEPOSITS-Y1,L,0.0116
EEFFQR,RAT,EFFICIENCY RATIO-QUARTERLY,M,0.0034
EEFFR,RAT,EFFICIENCY RATIO,M,0.0033
EINTEXY1,RAT,TOTAL INTEREST EXPENSE-Y1,M,0.0168
EINTXQY1,RAT,TOTAL INTEREST EXPENSE-QY1,M,0.0173
ELNANTR,RAT,CREDIT LOSS PROV/NT CHG-OFFS,UNASSIGNED,0.1519
ELNAQY1S,RAT,PROV FOR CREDIT LOSS-S-QY1,UNASSIGNED,0.3386
ELNATQR,RAT,CREDIT LOSS PROV/NT CHG-OFFS-QTR,UNASSIGNED,0.209
ELNATQY1,RAT,PROVISION FOR CREDIT LOSSES-QY1,A,0.3384
ELNATRY,RAT,CREDIT LOSS PROV/AVE ASSETS,UNASSIGNED,0.0032
ELNATRY1,RAT,PROV FOR CREDIT LOSSES-Y1,UNASSIGNED,0.2702
ELNATRYQ,RAT,CREDIT LOSS PROV-QTR/AVE ASSETS,UNASSIGNED,0.0032
ELNATY1S,RAT,PROV FOR CREDIT LOSS-S-Y1,UNASSIGNED,0.2702
EQCDIQY1,RAT,CASH DIVIDENDS ON STK-QTR-Y1,L,0.4751
EQCDIVY1,RAT,CASH DIVIDENDS ON STOCK-Y1,L,0.3735
EQTANQTA,RAT,TANGIBLE EQUITY CAPITAL RATIO,C,0.0032
EQTOTY1,RAT,TOTAL EQUITY CAPITAL-Y1,C,0.005
EQV,RAT,BANK EQUITY CAPITAL/ASSETS,C,0.0032
EQY1,RAT,TOTAL BANK EQUITY CAPITAL-Y1,C,0.005
EQY1S,RAT,TOTAL BANK EQUITY CAPITAL-S-Y1,C,0.005
ERNASTR,RAT,EARNING ASSETS / TOTAL ASSETS,UNASSIGNED,0.0033
ERNASTY1,RAT,TOTAL EARNING ASSETS-Y1,UNASSIGNED,0.0063
IBEFTXY1,RAT,INCOME BEF INC TAXES & DISC-Y1,E,0.0052
IBEFXTY1,RAT,INCOME BEFORE DISC OPR-Y1,E,0.0053
