"RIS Name","Description","Database","Report","FRB Number","Call Names"
"ASSETDY1","TOTAL ASSETS-DOM-Y1","RAT","RC-BAL","",""
"ASSETFY1","TOTAL ASSETS-FOR-W-Y1","RAT","RC-BAL","",""
"ASSETY1","TOTAL ASSETS-Y1","RAT","RC-BAL","",""
"ASSETY1S","TOTAL ASSETS-S-Y1","RAT","RC-BAL","",""
"ASSTLTY1","LONG-TERM ASSETS (5+ YEARS)-Y1","RAT","RC-BAL","",""
"ASTEMP","ASSETS PER EMPLOYEE","RAT","RI-INC","",""
"ASTEMPM","ASSETS PER EMPLOYEE IN MILLION","RAT","RI-INC","",""
"CB","","RAT","RAT","",""
"CHFLQY1","NET OPERATING CASH FLOW-QY1","RAT","RI-INC","",""
"CHFLY1","NET OPERATING CASH FLOW-Y1","RAT","RI-INC","",""
"DEPDASTR","TOT DOMESTIC DEPOSIT / ASSET","RAT","RC-BAL","",""
"DEPDOMY1","TOTAL DEPOSITS-DOM-Y1","RAT","RC-BAL","",""
"DEPFORY1","TOTAL DEPOSITS-FOR-Y1","RAT","RC-BAL","",""
"DEPINSY1","ESTIMATED INSURED DESPOITS-Y1","RAT","RC-O","",""
"DEPIY1","INTEREST-BEARING-DEP-Y1","RAT","RC-BAL","",""
"DEPNIY1","NONINTEREST-BEARING-DEP-Y1","RAT","RC-BAL","",""
"DEPY1","TOTAL DEPOSITS-Y1","RAT","RC-BAL","",""
"EEFFQR","EFFICIENCY RATIO-QUARTERLY","RAT","RI-INC","",""
"EEFFR","EFFICIENCY RATIO","RAT","RI-INC","",""
"EINTEXY1","TOTAL INTEREST EXPENSE-Y1","RAT","RI-INC","",""
"EINTXQY1","TOTAL INTEREST EXPENSE-QY1","RAT","RI-INC","",""
"ELNANTR","CREDIT LOSS PROV/NT CHG-OFFS","RAT","RI-INC","",""
"ELNAQY1S","PROV FOR CREDIT LOSS-S-QY1","RAT","RI-INC","",""
"ELNATQR","CREDIT LOSS PROV/NT CHG-OFFS-QTR","RAT","RI-INC","",""
"ELNATQY1","PROVISION FOR CREDIT LOSSES-QY1","RAT","RI-INC","",""
"ELNATRY","CREDIT LOSS PROV/AVE ASSETS","RAT","RI-INC","",""
"ELNATRY1","PROV FOR CREDIT LOSSES-Y1","RAT","RI-INC","",""
"ELNATRYQ","CREDIT LOSS PROV-QTR/AVE ASSETS","RAT","RI-INC","",""
"ELNATY1S","PROV FOR CREDIT LOSS-S-Y1","RAT","RI-INC","",""
"EQCDIQY1","CASH DIVIDENDS ON STK-QTR-Y1","RAT","RI-A","",""
"EQCDIVY1","CASH DIVIDENDS ON STOCK-Y1","RAT","RI-A","",""
"EQTANQTA","TANGIBLE EQUITY CAPITAL RATIO","RAT","RC-R","",""
"EQTOTY1","TOTAL EQUITY CAPITAL-Y1","RAT","RC-BAL","",""
"EQV","BANK EQUITY CAPITAL/ASSETS","RAT","RC-BAL","",""
"EQY1","TOTAL BANK EQUITY CAPITAL-Y1","RAT","RC-BAL","",""
"EQY1S","TOTAL BANK EQUITY CAPITAL-S-Y1","RAT","RC-BAL","",""
"ERNASTR","EARNING ASSETS / TOTAL ASSETS","RAT","RC-BAL","",""
"ERNASTY1","TOTAL EARNING ASSETS-Y1","RAT","RC-BAL","",""
"EXTRAQY1","NET DISCONTINUED OPERATIONS-QY1","RAT","RI-INC","",""
"EXTRAY1","NET DISCONTINUED OPERATIONS-Y1","RAT","RI-INC","",""
"IBEFTXY1","INCOME BEF INC TAXES & DISC-Y1","RAT","RI-INC","",""
"IBEFXTY1","INCOME BEFORE DISC OPR-Y1","RAT","RI-INC","",""
"IGLSCQY1","SECURITIES GAINS & LOSSES-QY1","RAT","RI-INC","",""
"IGLSECY1","SECURITIES GAINS & LOSSES-Y1","RAT","RI-INC","",""
"INTANGY1","GOODWILL-Y1","RAT","RC-BAL","",""
"INTANY1","INTANGIBLE ASSETS-Y1","RAT","RC-BAL","",""
"INTEXPY","INTEREST EXPENSE/EARNING ASSETS","RAT","RI-INC","",""
"INTEXPYQ","INTEREST EXP/EARNING ASSETS-QTR","RAT","RI-INC","",""
"INTINCY","INTEREST INCOME/EARNING ASSETS","RAT","RI-INC","",""
"INTINCY1","TOTAL INTEREST INCOME-Y1","RAT","RI-INC","",""
"INTINCYQ","INTEREST INC/EARNING ASSETS-QTR","RAT","RI-INC","",""
"INTINQY1","TOTAL INTEREST INCOME-QY1","RAT","RI-INC","",""
"ITAXQY1","APPLICABLE INCOME TAXES-QY1","RAT","RI-INC","",""
"ITAXY1","APPLICABLE INCOME TAXES-Y1","RAT","RI-INC","",""
"LCLCY1","UNUSED COMMIT & CREDIT LETTER-Y1","RAT","RC-C","",""
"LIABEQY1","TOTAL LIABILITIES & CAPITAL-Y1","RAT","RC-BAL","",""
"LIABY1","TOTAL LIABILITIES-Y1","RAT","RC-BAL","",""
"LNAGT1R","AG LOANS/TIER 1","RAT","RC-C","",""
"LNAGY1","AG LOANS-Y1","RAT","RC-C","",""
